iter	RMSE
0	89.74380436
1	87.01979117
2	84.21660581
3	81.61437803
4	79.17627131
5	76.78837599
6	74.54975906
7	72.50365443
8	70.44387827
9	68.40739244
10	66.52837095
11	64.82389759
12	63.24457398
13	61.64994884
14	60.30326743
15	58.83235546
16	57.62165417
17	56.53209236
18	55.31209514
19	54.15898052
20	53.28967647
21	52.24620077
22	51.22953869
23	50.33508451
24	49.39657418
25	48.51760607
26	47.77654472
27	47.00724803
28	46.21718129
29	45.53259187
30	45.00662771
31	44.47936177
32	43.89340383
33	43.40889146
34	42.99260892
35	42.50987297
36	41.96340588
37	41.51765371
38	41.13784282
39	40.77933013
40	40.46568775
41	39.96291799
42	39.55756659
43	39.28593808
44	38.81531349
45	38.51139052
46	38.19129808
47	37.92515377
48	37.68750586
49	37.32242577
50	37.09360641
51	36.88488626
52	36.65212173
53	36.40352323
54	36.15138649
55	35.89502165
56	35.6678034
57	35.49293566
58	35.26572346
59	35.1042879
60	34.98043991
61	34.77799755
62	34.62518159
63	34.45341682
64	34.30388014
65	34.15240909
66	34.02011869
67	33.86802903
68	33.6243878
69	33.50309371
70	33.40593322
71	33.24136572
72	33.03856826
73	32.93070986
74	32.7769948
75	32.66419859
76	32.48766319
77	32.36570172
78	32.25983774
79	32.20430723
80	32.08679551
81	32.02641362
82	31.91638244
83	31.82312388
84	31.71044976
85	31.62286388
86	31.50317954
87	31.38613147
88	31.27377859
89	31.20117847
90	31.12999952
91	31.05879461
92	30.97668648
93	30.80456196
94	30.68981284
95	30.63004239
96	30.49720097
97	30.39133017
98	30.27997207
99	30.16918165
100	30.10589673
101	30.01143552
102	29.96277848
103	29.88833689
104	29.82956254
105	29.7298397
106	29.62274672
107	29.51405946
108	29.42809957
109	29.32691572
110	29.24752684
111	29.18075806
112	29.12407603
113	29.07129569
114	29.03604362
115	28.99065411
116	28.94648938
117	28.87586625
118	28.80236214
119	28.75953839
120	28.67059367
121	28.6148619
122	28.58337646
123	28.52297054
124	28.434924
125	28.39540068
126	28.3499282
127	28.2722191
128	28.22824942
129	28.17585854
130	28.14284108
131	28.06537871
132	28.02577279
133	27.97547195
134	27.94388583
135	27.90253212
136	27.83573526
137	27.79399295
138	27.74193929
139	27.70818868
140	27.65175234
141	27.5865383
142	27.55856892
143	27.50298251
144	27.44815009
145	27.36250679
146	27.28991838
147	27.25290275
148	27.22328166
149	27.16566596
150	27.10974694
151	27.05785292
152	26.99800508
153	26.96266412
154	26.92609964
155	26.89448714
156	26.84404697
157	26.83022185
158	26.80077865
159	26.75597247
160	26.70770491
161	26.67746714
162	26.64865888
163	26.62132631
164	26.57749721
165	26.53994124
166	26.49808978
167	26.45015892
168	26.41583504
169	26.37812529
170	26.33693912
171	26.30688764
172	26.27635982
173	26.23529719
174	26.19045216
175	26.11455956
176	26.08216907
177	26.03736398
178	26.0008575
179	25.96353691
180	25.9231161
181	25.88238836
182	25.84941311
183	25.82430732
184	25.77766661
185	25.74912111
186	25.7222185
187	25.69557814
188	25.65985732
189	25.6121267
190	25.58811686
191	25.56171395
192	25.527845
193	25.50198674
194	25.46709569
195	25.44345639
196	25.38003396
197	25.34547179
198	25.31665696
199	25.27589526
200	25.23856331
201	25.19483247
202	25.17177548
203	25.1134644
204	25.06043698
205	25.02183941
206	24.9984086
207	24.96147036
208	24.93165425
209	24.89440742
210	24.87867897
211	24.85983717
212	24.82938762
213	24.77840315
214	24.75824951
215	24.72867406
216	24.70452803
217	24.67848669
218	24.64920972
219	24.61568822
220	24.5854806
221	24.56150392
222	24.54356495
223	24.52724281
224	24.48092477
225	24.4375024
226	24.39446256
227	24.36903567
228	24.32856425
229	24.29172349
230	24.26602932
231	24.2417425
232	24.22341652
233	24.19621793
234	24.17814524
235	24.14609043
236	24.13065135
237	24.09422842
238	24.06770312
239	24.026362
240	23.99587635
241	23.96254393
242	23.9193329
243	23.88884131
244	23.87191199
245	23.83915678
246	23.79388847
247	23.76823738
248	23.73458681
249	23.71709232
250	23.69864255
251	23.66478665
252	23.63728265
253	23.61459504
254	23.59133423
255	23.55591721
